Store,bus,carrier,e_nom_extendable,sign
ME urban decentral water tanks,ME urban decentral water tanks,urban decentral water tanks,True,1.0
MK rural water tanks,MK rural water tanks,rural water tanks,True,1.0
MK urban decentral water tanks,MK urban decentral water tanks,urban decentral water tanks,True,1.0
NL rural water tanks,NL rural water tanks,rural water tanks,True,1.0
NL urban decentral water tanks,NL urban decentral water tanks,urban decentral water tanks,True,1.0
NO rural water tanks,NO rural water tanks,rural water tanks,True,1.0
NO urban decentral water tanks,NO urban decentral water tanks,urban decentral water tanks,True,1.0
PL rural water tanks,PL rural water tanks,rural water tanks,True,1.0
PL urban decentral water tanks,PL urban decentral water tanks,urban decentral water tanks,True,1.0
PT rural water tanks,PT rural water tanks,rural water tanks,True,1.0
PT urban decentral water tanks,PT urban decentral water tanks,urban decentral water tanks,True,1.0
RO rural water tanks,RO rural water tanks,rural water tanks,True,1.0
RO urban decentral water tanks,RO urban decentral water tanks,urban decentral water tanks,True,1.0
RS rural water tanks,RS rural water tanks,rural water tanks,True,1.0
RS urban decentral water tanks,RS urban decentral water tanks,urban decentral water tanks,True,1.0
SE rural water tanks,SE rural water tanks,rural water tanks,True,1.0
SE urban decentral water tanks,SE urban decentral water tanks,urban decentral water tanks,True,1.0
SI rural water tanks,SI rural water tanks,rural water tanks,True,1.0
SI urban decentral water tanks,SI urban decentral water tanks,urban decentral water tanks,True,1.0
SK rural water tanks,SK rural water tanks,rural water tanks,True,1.0
SK urban decentral water tanks,SK urban decentral water tanks,urban decentral water tanks,True,1.0
XK rural water tanks,XK rural water tanks,rural water tanks,True,1.0
XK urban decentral water tanks,XK urban decentral water tanks,urban decentral water tanks,True,1.0
